ZIP Code,State,County,Hospitals,Nursing Homes,Public Health Departments,Pharmacies,Representative Lat,Representative Lon
02001,DC,DISTRICT OF COLUMBIA,3,1,0,0,38.930352442,-77.02161868875
02002,DC,DISTRICT OF COLUMBIA,0,1,0,0,38.8586681200001,-76.971285054
02006,DC,DISTRICT OF COLUMBIA,1,0,0,0,38.91754841,-77.02009375
02019,MA,NORFOLK,0,0,1,0,42.08724162232281,-71.47323806109517
02021,MA,NORFOLK,1,4,3,0,42.17223124248685,-71.13003658764232
02025,MA,NORFOLK,0,1,1,0,42.24045889373939,-70.81488193756803
02026,MA,NORFOLK,1,5,1,0,42.25295500389916,-71.18577911500986
02030,MA,NORFOLK,0,0,1,0,42.24505871095279,-71.28086893732018
02035,MA,NORFOLK,1,1,1,0,42.05972314513769,-71.247127112075
02038,MA,NORFOLK,0,2,1,0,42.08294413886813,-71.39724292613134
02043,MA,PLYMOUTH,0,6,1,0,42.22002165861969,-70.9075428937974
02045,MA,PLYMOUTH,0,0,1,0,42.26526023662635,-70.84605420306465
02048,MA,BRISTOL,0,1,1,0,42.02063068261744,-71.21299220345045
02050,MA,PLYMOUTH,0,1,1,0,42.096954185800726,-70.72627529600763
02052,MA,NORFOLK,0,1,1,0,42.186695449111824,-71.30629964861708
02053,MA,NORFOLK,0,2,1,0,42.14491432212204,-71.4070641742717
02054,MA,NORFOLK,0,1,1,0,42.16924567007584,-71.35424175477957
02056,MA,NORFOLK,0,0,1,0,42.11800488326344,-71.3265067449
02061,MA,PLYMOUTH,0,2,1,0,42.16199925496041,-70.85425686818918
02062,MA,NORFOLK,1,7,1,0,42.19187782429381,-71.20213275736748
02066,MA,PLYMOUTH,0,2,1,0,42.185021714019456,-70.75349483567162
02067,MA,NORFOLK,0,2,1,0,42.11976051735971,-71.1994122250511
02072,MA,NORFOLK,2,5,1,0,42.16887113555927,-71.09638793648433
02081,MA,NORFOLK,0,2,1,0,42.1614409370008,-71.23727349409641
02090,MA,NORFOLK,1,3,1,0,42.223940832517535,-71.20366816660085
02093,MA,NORFOLK,0,4,1,0,42.06413422598904,-71.31783120210615
02108,MA,SUFFOLK,0,0,1,0,42.3580693882277,-71.0575512853411
02109,MA,SUFFOLK,0,1,0,0,42.362468296,-71.053490751
02111,MA,SUFFOLK,1,0,0,0,42.3499,-71.064
02114,MA,SUFFOLK,3,0,0,0,42.362864183333336,-71.06856729333333
02115,MA,SUFFOLK,2,1,0,0,42.3384105316667,-71.09891395566666
02116,MA,SUFFOLK,0,1,0,0,42.353811357,-71.076556
02118,MA,SUFFOLK,3,0,1,0,42.333966063542896,-71.0703808692663
02119,MA,SUFFOLK,0,1,0,0,42.331946062,-71.083311207
02120,MA,SUFFOLK,1,2,0,0,42.32926728933334,-71.1073182326666
02121,MA,SUFFOLK,0,1,0,0,42.3007555980001,-71.07373534
02122,MA,SUFFOLK,0,2,0,0,42.29074679250005,-71.0534705515
02124,MA,SUFFOLK,1,1,0,0,42.27882381150005,-71.06618166849995
02125,MA,SUFFOLK,0,2,0,0,42.3152431750001,-71.068810663
02126,MA,SUFFOLK,0,1,0,0,42.269985433,-71.090627952
02127,MA,SUFFOLK,0,2,0,0,42.33246794950005,-71.0459796789999
02128,MA,SUFFOLK,0,1,0,0,42.3906322230001,-71.005322384
02129,MA,SUFFOLK,1,1,0,0,42.377659948499996,-71.05719111499995
02130,MA,SUFFOLK,4,6,0,0,42.313069285900056,-71.11578318039999
02131,MA,SUFFOLK,1,1,0,0,42.296760184,-71.13133140299999
02132,MA,SUFFOLK,1,6,0,0,42.279232291428585,-71.15649742628568
02134,MA,SUFFOLK,0,1,0,0,42.3542610370001,-71.143420545
02135,MA,SUFFOLK,3,4,0,0,42.34645482585721,-71.14730424071429
02136,MA,SUFFOLK,0,2,0,0,42.256629761000056,-71.11833039749996
02138,MA,MIDDLESEX,1,5,0,0,42.381495893500066,-71.13426458149998
02139,MA,MIDDLESEX,1,0,1,0,42.36959172354426,-71.10045407507474
02140,MA,MIDDLESEX,0,1,0,0,42.3875987210001,-71.131514054
