OBJECTID,Name,Address,City,State,Zip,Status,x,y
54793,CVS Pharmacy #09679,1485 E VALLEY BLVD,ALHAMBRA,CA,91801,open,-13147861.456656,4039474.54359628
54796,CVS Pharmacy #09685,2240 FAIR PARK AVE,LOS ANGELES,CA,90041,open,-13159801.8078774,4047090.52809498
54799,CVS Pharmacy #09689,950 WEST FOOTHILL BLVD,MONROVIA,CA,91016,open,-13137963.5954516,4048985.6702032
54801,CVS Pharmacy #09669,2530 GLENDALE BOULEVARD,LOS ANGELES,CA,90039,open,-13164533.4428336,4042672.4020875
54802,CVS Pharmacy #08829,119 SOUTH LINCOLN BLVD,VENICE,CA,90291,open,-13187982.2256522,4029073.26600654
54803,CVS Pharmacy #09707,14735 VENTURA,SHERMAN OAKS,CA,91403,open,-13186200.4458826,4049218.24703091
54804,CVS Pharmacy #09613,23357 MULHOLLAND DRIVE,WOODLAND HILLS,CA,91364,open,-13206301.7402936,4050044.88163529
54806,CVS Pharmacy #09617,2103 SOUTH ATLANTIC BOULEVARD,MONTEREY PARK,CA,91754,open,-13151819.1985121,4034085.78531167
54807,CVS Pharmacy #08844,6510 South St,Lakewood,CA,907131714,open,-13147526.6076276,4009723.4488055
54808,CVS Pharmacy #09721,1401 S BALDWIN,ARCADIA,CA,91007,open,-13142012.1740122,4045407.89599556
54810,CVS PHARMACY,4235 PACIFIC COAST HIGHWAY,TORRANCE,CA,90505,open,-13175605.9473048,4003144.61316694
54813,CVS Pharmacy #08858,7101 ATLANTIC AVENUE,BELL,CA,90201,open,-13156631.4287796,4024949.63920357
54815,CVS Pharmacy #09641,206 N AZUSA AVENUE,COVINA,CA,91722,open,-13125289.0921883,4040535.82650398
54817,CVS Pharmacy #09645,8225 EAST GARVEY AVENUE,ROSEMEAD,CA,91770,open,-13145683.4908186,4037296.50852177
54818,CVS Pharmacy #09647,2037 VERDUGO BLVD,MONTROSE,CA,91020,open,-13160296.7343335,4056461.85456691
54820,CVS Pharmacy #09651,12717 GLENOAKS,SYLMAR,CA,91342,open,-13184864.6119931,4069307.51180152
54821,CVS Pharmacy #08871,13171 MINDANAO WAY,MARINA DEL REY,CA,902926307,open,-13184425.9018799,4026768.33539994
54822,CVS Pharmacy #09784,1030 COLORADO BLVD,EAGLE ROCK,CA,90041,open,-13156713.2486054,4047276.26226297
54826,CVS Pharmacy #09475,4320 REDONDO BEACH BOULEVARD,TORRANCE,CA,90504,open,-13174741.6627783,4011938.06087413
54827,CVS Pharmacy #09677,17320 VENTURA,ENCINO,CA,91316,open,-13192486.9914862,4050409.31947804
54828,CVS Pharmacy #09579,4570 ATLANTIC AVENUE,LONG BEACH,CA,90807,open,-13156197.394085,4007631.36308211
54830,CVS Pharmacy #09493,12315 VENICE BOULEVARD,MAR VISTA,CA,90066,open,-13183903.4795096,4029378.61999687
54831,CVS Pharmacy #09795,511 N Hollywood Way,BURBANK,CA,91505,open,-13173944.6152242,4050268.46669966
54834,CVS Pharmacy #09601,1015 N SAN FERNANDO BOULEVARD,BURBANK,CA,91504,open,-13171220.738604,4053986.91996032
54835,CVS Pharmacy #09603,201 NORTH LOS ANGELES STREET,LOS ANGELES,CA,90012,open,-13162590.2498023,4035907.41738664
54837,CVS Pharmacy #09857,800 W WHITTIER,MONTEBELLO,CA,90640,open,-13147746.9088999,4030135.59476142
54838,CVS Pharmacy #09608,2505 SANTA MONICA BOULEVARD,SANTA MONICA,CA,90404,open,-13188559.0832535,4033192.47384909
54839,CVS Pharmacy #09611,19424 Soledad Canyon Rd,CANYON COUNTRY,CA,91351,open,-13188531.8099783,4084697.71829332
54840,CVS Pharmacy #08839,150 WEST CARSON STREET,CARSON,CA,90745,open,-13166812.8207271,4006128.75005421
54841,CVS Pharmacy #09615,19353 VICTORY,RESEDA,CA,91335,open,-13197500.710032,4053907.79125222
54842,CVS Pharmacy #09717,13021 VICTORY BLVD,NORTH HOLLYWOOD,CA,91606,open,-13182075.1681928,4054073.1816464
54846,CVS Pharmacy #09629,861 NORTH HACIENDA BOULEVARD,LA PUENTE,CA,91744,open,-13130150.3030318,4033546.70040671
54848,CVS PHARMACY,11940 GARVEY AVENUE,EL MONTE,CA,91732,open,-13138004.6723437,4037131.49637331
54849,CVS Pharmacy #09643,8425 LAUREL CANYON,SUN VALLEY,CA,91352,open,-13180051.4911697,4058929.52052915
54851,CVS Pharmacy #09751,5623 KANAN RD,Agoura Hills,CA,913013358,open,-13220143.9850153,4049309.31513675
54855,CVS Pharmacy #08878,5505 Carson St,LAKEWOOD,CA,90713,open,-13149591.5841819,4006333.38438364
54856,CVS Pharmacy #09667,300 SOUTH DIAMOND BAR BOULEVARD,DIAMOND BAR,CA,91765,open,-13114353.8446492,4031429.56456879
54857,CVS Pharmacy #09757,2525 VIA CAMPO STREET,MONTEBELLO,CA,90640,open,-13149471.9157293,4033183.20527015
