ZIP Code,County,Hospitals,Nursing Homes,Public Health Departments,Pharmacies
03303,MERRIMACK,0,2,0,0
03431,CHESHIRE,1,6,0,0
03452,CHESHIRE,0,1,0,0
03458,HILLSBOROUGH,1,2,0,0
03467,CHESHIRE,0,1,0,0
03470,CHESHIRE,0,1,0,0
03561,GRAFTON,1,0,0,0
03570,COOS,1,2,0,0
03576,COOS,1,0,0,0
03580,GRAFTON,0,1,0,0
03584,COOS,1,1,0,0
03590,COOS,0,0,1,0
03597,COOS,0,1,0,0
03598,COOS,0,2,0,0
03603,SULLIVAN,0,1,0,0
03743,SULLIVAN,1,3,0,0
03755,GRAFTON,0,3,0,0
03756,GRAFTON,1,0,0,0
03765,GRAFTON,0,1,0,0
03766,GRAFTON,1,1,0,0
03773,SULLIVAN,0,2,0,0
03774,GRAFTON,0,1,0,0
03782,SULLIVAN,0,1,0,0
03784,GRAFTON,0,1,0,0
03785,GRAFTON,1,0,0,0
03801,ROCKINGHAM,2,5,0,0
03820,STRAFFORD,2,6,0,0
03824,STRAFFORD,0,1,0,0
03825,STRAFFORD,0,1,0,0
03833,ROCKINGHAM,1,5,0,0
03835,STRAFFORD,0,1,0,0
03839,STRAFFORD,0,1,0,0
03841,ROCKINGHAM,1,0,0,0
03842,ROCKINGHAM,0,1,0,0
03860,CARROLL,1,2,0,0
03864,CARROLL,0,1,0,0
03865,ROCKINGHAM,1,0,0,0
03867,STRAFFORD,1,6,0,0
03868,STRAFFORD,0,1,0,0
03870,ROCKINGHAM,0,1,0,0
03873,ROCKINGHAM,0,1,0,0
03874,ROCKINGHAM,1,0,0,0
03894,CARROLL,1,2,0,0
03906,YORK,0,2,0,0
03908,YORK,0,1,0,0
03909,YORK,1,3,0,0
04002,YORK,0,2,0,0
04005,YORK,1,38,0,0
04008,SAGADAHOC,0,1,0,0
04009,CUMBERLAND,1,5,0,0
04011,CUMBERLAND,2,16,0,0
04015,CUMBERLAND,0,3,0,0
04017,CUMBERLAND,0,1,0,0
04020,YORK,0,1,0,0
04021,CUMBERLAND,0,4,0,0
04029,CUMBERLAND,0,3,0,0
04030,YORK,0,4,0,0
04032,CUMBERLAND,0,5,0,0
04037,OXFORD,0,2,0,0
04038,CUMBERLAND,0,38,0,0
04039,CUMBERLAND,0,22,0,0
04042,YORK,0,4,0,0
04043,YORK,0,9,0,0
04046,YORK,0,2,0,0
04048,YORK,0,4,0,0
04055,CUMBERLAND,0,1,0,0
04061,YORK,0,1,0,0
04062,CUMBERLAND,0,51,0,0
04063,YORK,0,2,0,0
04064,YORK,1,9,0,0
04071,CUMBERLAND,0,2,0,0
04072,YORK,0,44,0,0
04073,YORK,1,29,0,0
04074,CUMBERLAND,0,24,0,0
04079,CUMBERLAND,0,1,0,0
04083,YORK,0,6,0,0
04084,CUMBERLAND,0,4,0,0
04085,CUMBERLAND,0,2,0,0
04086,SAGADAHOC,0,10,0,0
04087,YORK,0,4,0,0
04088,OXFORD,0,2,0,0
04090,YORK,0,2,0,0
04092,CUMBERLAND,2,66,0,0
04093,YORK,0,5,0,0
04096,CUMBERLAND,0,3,0,0
04101,CUMBERLAND,1,7,1,0
04102,CUMBERLAND,3,26,0,0
04103,CUMBERLAND,0,60,0,0
04105,CUMBERLAND,0,12,0,0
04106,CUMBERLAND,0,25,0,0
